FileName,LOSS,UD_P_SNR,UD_S_SNR,UD_P_CC,UD_S_CC,UD_N_CC,NS_P_SNR,NS_S_SNR,NS_P_CC,NS_S_CC,NS_N_CC,EW_P_SNR,EW_S_SNR,EW_P_CC,EW_S_CC,EW_N_CC
110907.001544_E.NKMM.npz,196.28711466983364,103.25708389282227,98.98503303527832,0.9860593592666161,0.9754407492500323,0.9995590677448242,103.06532859802246,101.5565013885498,0.9883501465409678,0.9957123642425318,0.9996237352958814,102.89132118225098,102.26516723632812,0.972130746882512,0.9685697896586198,0.9997743460262947
110907.001544_E.SRTM.npz,180.54245617698484,101.47095680236816,97.2706413269043,0.9747000491062632,0.9664765004453054,0.9995599705820386,99.42595481872559,99.38846588134766,0.9280433706385146,0.9797624504958601,0.9998457139932643,100.70010185241699,98.99859428405762,0.9081792076731484,0.9581713892786614,0.9998139385544691
110907.023006_E.SSHM.npz,128.31572898102308,33.488643169403076,32.774152755737305,0.9728438897864748,0.970754260931628,0.08605261061276022,100.1009464263916,103.10364723205566,0.9371365099009852,0.9871453685006236,0.9998174329351455,99.72440719604492,102.0463752746582,0.9618434626371583,0.9874905933449851,0.9998423393029009
110907.025451_E.TK2M.npz,217.80734254656218,107.70922660827637,111.57426834106445,0.9979921564878378,0.9518502328748922,0.998035078048775,110.65497398376465,117.11127281188965,0.9966972251002545,0.9851442941800321,0.9954414794553637,110.44552803039551,118.05560111999512,0.997359752086806,0.9850510467632898,0.9929276447412041
110907.030733_E.MD1M.npz,155.25195083500935,97.43145942687988,95.88851928710938,0.9095207617620389,0.9629950074207188,0.9996241170113088,93.61946105957031,100.38400650024414,0.7991959315682865,0.9480306656480287,0.9997201641327037,95.88851928710938,99.78289604187012,0.817199681720508,0.9355656038614516,0.9996666850369862
110907.042108_E.SNSM.npz,171.7409885675526,97.2469711303711,101.3193130493164,0.9358351528663028,0.9899456725507032,0.9994290264239198,93.9930534362793,105.01537322998047,0.7678591339033118,0.9974567122583351,0.9997443592585538,92.96091079711914,103.81914138793945,0.9132470819420717,0.9963013566413521,0.9996876647405752
110907.044435_E.NKMM.npz,180.44023268536594,102.20232963562012,100.9138011932373,0.9489633811309939,0.9194826920208523,0.9994162885475409,99.83433723449707,100.30891418457031,0.9689929381001658,0.9423534057872041,0.9995763859626476,94.18929100036621,97.27567672729492,0.955195769861466,0.9927103057956396,0.9997828908602717
110907.060002_E.MOKM.npz,178.6548035753427,99.18923377990723,99.73532676696777,0.9425228676036592,0.9879979583726423,0.9997921790738449,97.36498832702637,99.98249053955078,0.9287945352611782,0.982827075986686,0.9997730509007323,97.60906219482422,102.30255126953125,0.8758937911799732,0.9747260816647031,0.9998812396332076
110907.060002_E.SNSM.npz,165.08321364071983,97.53639221191406,93.6363697052002,0.854751628977912,0.9382799424497743,0.9998011972287442,94.75339889526367,100.2397346496582,0.8725408060753779,0.9725126385066173,0.9998076803059442,96.68890953063965,99.18761253356934,0.9281475886331457,0.9711577519808227,0.9998333625751492
110907.071353_E.HSDM.npz,42.673648675758926,95.26930809020996,105.76460838317871,0.5336250249912127,0.9931787574252077,0.999672141021647,86.36051177978516,109.11074638366699,0.10026160992233991,0.9977818996225035,0.9996081416608895,17.574851512908936,29.289774894714355,0.9633598242047581,0.9967758415887914,0.04363768357181057
110907.072406_E.SSHM.npz,180.53188677561909,95.4299545288086,103.68374824523926,0.946989905341168,0.9845671608686533,0.9997947229999365,96.67604446411133,106.00327491760254,0.9225307209680884,0.9938348312163059,0.9996948190523713,91.52973175048828,103.39906692504883,0.8787180816187271,0.9938510876665992,0.9998968025978122
110907.072841_E.MD1M.npz,204.029256049123,105.16914367675781,104.76122856140137,0.9924824699749454,0.997435116687678,0.9800677126149464,103.57933044433594,106.51926040649414,0.9880929277186811,0.9988070902277857,0.9998347222636527,102.57591247558594,104.57596778869629,0.9976401931734455,0.9957048994808722,0.9772655865420874
110907.072841_E.YMKM.npz,77.69599907888714,55.864787101745605,55.90468883514404,0.9946202422375476,0.999065027887753,0.1862318255174673,105.60883522033691,108.94941329956055,0.9936078148273928,0.9976751415593477,0.9993194215544529,58.14476490020752,60.787434577941895,0.9980763796719955,0.9981567870860535,-0.001199059708872747
110907.123751_E.TACM.npz,187.1460171001418,107.42524147033691,106.23743057250977,0.9525014221748125,0.9938378140738454,0.9997280317701706,100.0658130645752,103.97561073303223,0.9266718899783412,0.9902904150649959,0.9997511859837279,98.67419242858887,102.27571487426758,0.8633921336862669,0.9917123074822604,0.9998576388409407
110907.165747_E.YMKM.npz,174.15748836209414,105.28432846069336,104.88694190979004,0.8509521224647097,0.979440398792178,0.9995560456538775,100.60007095336914,104.91995811462402,0.8733466926509117,0.9867588864556512,0.9998036432790227,101.91255569458008,102.33510971069336,0.8507329391284789,0.980288468154487,0.9998097466281833
110907.170846_E.NKMM.npz,198.4311974366624,110.66641807556152,106.97160720825195,0.956215887568029,0.9984121398305159,0.9831933544272698,107.14712142944336,106.73511505126953,0.8753210258886599,0.9976107065377983,0.9986295519207777,107.93088912963867,108.32279205322266,0.9508519549483079,0.9957706337426906,0.9987264898362342
110907.170846_E.TKWM.npz,75.3008776342915,28.643670082092285,26.186888217926025,0.9907509982364869,0.9987346188960564,0.1330899791898918,107.0421314239502,107.51619338989258,0.993390809945604,0.9987992886277892,0.9986206276870884,30.411701202392578,30.664098262786865,0.998928506583547,0.9978895186114761,0.10004954418670459
110907.170846_E.YMKM.npz,211.6698853871944,109.23177719116211,107.82292366027832,0.9588613190963285,0.9988516159157809,0.9988434607021551,105.32598495483398,107.7035140991211,0.9885581665548593,0.9900629599519735,0.9996843023923729,109.49446678161621,110.65389633178711,0.9961590838704862,0.9986969743971382,0.9996033861025262
110907.171933_E.IIDM.npz,63.22111450203414,97.75250434875488,98.8226318359375,0.860481522450527,0.9894721443681158,0.9997015360758781,7.105647325515747,12.468008995056152,0.9431077983766073,0.9909786723865304,0.6206601171458466,5.904325246810913,8.514841794967651,0.917606735767162,0.9728053973928548,0.8538942222517085
110907.171933_E.TACM.npz,189.22939841069407,101.64393424987793,101.29621505737305,0.9273410621900502,0.9746108425614678,0.9998690577155728,103.33906173706055,105.16281127929688,0.9469573483181613,0.986626898871323,0.9997018649825802,103.30191612243652,104.83049392700195,0.9260981879535332,0.9835692205700357,0.9998296264285781
